City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
Kendari,88,ID,1581538033,95,-3.94,122.5,73.89,1.48
Corinth,40,GR,1581538033,82,37.94,22.96,57.99,3.94
Qaqortoq,5,GL,1581538033,35,60.72,-46.03,6.8,5.82
Shimoda,90,JP,1581538104,100,34.67,138.95,50.0,1.12
Coquimbo,20,CL,1581537923,68,-29.95,-71.34,69.8,14.99
Santiago del Estero,0,AR,1581537845,37,-27.8,-64.26,87.46,10.85
Garni,40,AM,1581538105,86,40.12,44.73,28.4,2.24
Laas,0,IT,1581538105,53,46.62,10.7,41.0,3.36
Lagoa,72,PT,1581538105,82,39.05,-27.98,61.38,7.72
Vaitape,21,PF,1581538105,78,-16.52,-151.75,82.06,14.38
Biankouma,47,CI,1581538106,18,7.74,-7.61,77.11,3.71
Tougan,100,BF,1581538106,8,13.07,-3.07,77.04,10.31
Morgan City,90,US,1581538106,94,29.7,-91.21,80.6,24.16
Margate,100,GB,1581538106,65,51.38,1.39,45.0,10.29
Siloam Springs,90,US,1581537962,93,36.19,-94.54,42.8,8.52
Camacha,20,PT,1581538107,82,33.08,-16.33,64.4,3.36
Rong Kwang,47,TH,1581538107,51,18.34,100.32,67.08,1.95
Luba,20,GQ,1581538107,69,3.46,8.55,80.6,4.7
Ilulissat,20,GL,1581538107,44,69.22,-51.1,-0.4,2.24
Neftcala,92,AZ,1581538108,47,39.37,49.25,46.71,22.97
Tigil,85,RU,1581538108,99,57.8,158.67,-6.2,2.51
Indian Head,90,US,1581538108,53,38.6,-77.16,50.0,3.36
Labuhan,100,ID,1581538108,93,-6.88,112.21,75.36,0.6
Sungairaya,40,ID,1581538027,98,0.7,108.9,74.66,2.64
Dingle,7,PH,1581538109,93,11.0,122.67,71.67,8.25
Iguape,99,BR,1581537851,93,-24.71,-47.56,70.11,3.42
Bilibino,0,RU,1581538109,96,68.05,166.44,-17.32,3.31
Erzin,90,TR,1581538109,82,36.96,36.2,41.0,12.75
Husavik,75,IS,1581538110,73,66.04,-17.34,21.2,12.75
Kristinestad,96,FI,1581538110,96,62.27,21.38,33.08,6.62
Moses Lake,1,US,1581538110,49,47.13,-119.28,46.99,4.23
Kavieng,72,PG,1581538110,78,-2.57,150.8,83.64,14.47
Nemuro,3,JP,1581538111,82,43.32,145.57,34.0,13.15
Matara,0,LK,1581538111,83,5.95,80.54,75.04,4.59
Saint-Francois,100,FR,1581538111,80,46.42,3.91,41.0,3.36
San Jose,1,US,1581537868,51,37.34,-121.89,70.0,6.93
Sultanpur,25,IN,1581538112,66,26.27,82.07,55.35,6.29
Ruza,75,RU,1581538112,79,55.7,36.2,28.4,6.71
Konya,75,TR,1581538112,100,38.17,32.5,37.4,6.93
Mayna,100,RU,1581538113,86,54.11,47.62,13.51,9.04
Mitsamiouli,100,KM,1581538113,68,-11.38,43.28,83.93,3.87
Atasu,100,KZ,1581538113,76,48.68,71.64,23.83,16.26
Gari,100,RU,1581538113,95,59.43,62.35,15.28,3.49
Xudat,8,AZ,1581538114,67,41.63,48.68,29.3,7.47
Departamento de Maldonado,40,UY,1581538114,51,-34.67,-54.92,80.6,16.11
Auchi,60,NG,1581538114,18,7.07,6.27,76.87,2.08
Bhojudih,0,IN,1581538114,40,23.63,86.45,60.15,3.06
Kingsville,90,US,1581538114,87,27.52,-97.86,55.4,6.93
Mandera,97,KE,1581538115,36,3.94,41.87,88.93,2.13
Quatre Cocos,20,MU,1581538115,83,-20.21,57.76,80.6,11.41
Nizhnevartovsk,82,RU,1581538115,85,60.93,76.55,10.4,6.71
Bako,7,ET,1581538116,61,5.78,36.57,69.82,4.76
Olafsvik,92,IS,1581538116,63,64.89,-23.71,24.85,14.9
Pervouralsk,100,RU,1581538186,79,56.91,59.94,23.0,6.71
Sorong,100,ID,1581538186,99,-0.88,131.25,73.31,1.1
Kibaya,100,TZ,1581538187,93,-5.3,36.57,62.22,2.33
Tankhoy,100,RU,1581538187,96,51.55,105.13,7.63,2.37
Bundaberg,90,AU,1581538187,88,-24.85,152.35,81.0,8.05
Narsaq,5,GL,1581538098,35,60.92,-46.05,6.8,5.82
Volot,95,RU,1581538187,93,57.93,30.7,33.37,5.64
Sumbal,100,IN,1581538188,97,34.23,74.63,35.62,5.08
Okhotsk,100,RU,1581538188,82,59.38,143.3,-7.4,8.3
Joshimath,0,IN,1581538188,33,30.57,79.57,38.71,9.91
Geraldton,75,AU,1581538188,83,-28.77,114.6,73.4,9.17
Tetela del Volcan,20,MX,1581538189,48,18.87,-98.72,80.6,11.41
Caohe,70,CN,1581538189,96,30.23,115.43,52.47,6.46
Veseloyarsk,4,RU,1581538189,95,51.28,81.11,-4.74,4.14
Khovd,0,MN,1581538189,51,48.01,91.64,5.59,5.86
Yakeshi,100,CN,1581538189,93,49.28,120.73,11.75,12.66
Shenjiamen,17,CN,1581538190,90,29.96,122.3,53.49,6.6
Itoman,20,JP,1581538190,88,26.12,127.67,69.8,10.29
Bullhead City,1,US,1581538190,15,35.15,-114.57,62.01,2.39
Boshan,0,CN,1581538191,70,36.48,117.83,54.0,5.01
Nikolsk,99,RU,1581538191,83,53.72,46.07,13.59,12.46
Pori,75,FI,1581538191,98,61.48,21.78,33.8,4.7
Olinda,20,BR,1581538191,62,-8.01,-34.86,86.0,10.29
Yanggu,0,CN,1581538191,90,36.11,115.78,47.07,9.66
Vestmanna,34,FO,1581538192,74,62.16,-7.17,30.2,13.87
Lokbatan,100,AZ,1581538192,74,40.32,49.73,35.6,6.93
Cockburn Town,40,TC,1581538192,58,21.46,-71.14,82.4,13.87
Kargopol,100,RU,1581538193,95,61.51,38.95,31.71,11.3
Atambua,93,ID,1581538193,88,-9.11,124.89,74.77,1.34
Tomatlan,99,MX,1581538193,29,19.93,-105.25,87.75,4.59
Ulaanbaatar,75,MN,1581537985,77,47.91,106.88,5.0,8.95
North Bend,1,US,1581538194,71,43.41,-124.22,53.01,5.06
Salina,90,US,1581538194,86,38.84,-97.61,36.0,5.23
Fare,11,PF,1581538194,78,-16.7,-151.02,82.04,14.65
Walvis Bay,0,,1581538194,77,-22.96,14.51,68.0,5.82
Karsava,86,LV,1581538195,83,56.78,27.69,35.15,12.57
Socorro,75,US,1581538027,65,31.65,-106.3,48.0,9.17
Roebourne,0,AU,1581538195,63,-20.78,117.13,80.24,10.36
Nagato,75,JP,1581538196,87,34.38,131.2,55.4,11.41
Marawi,99,PH,1581538196,89,8.0,124.29,73.0,4.0
Oistins,20,BB,1581538196,66,13.07,-59.53,84.2,23.04
Champerico,40,GT,1581538196,52,14.3,-91.92,89.6,6.93
Rochester,1,US,1581537660,51,43.15,-77.62,41.0,4.09
Luanda,40,AO,1581538197,78,-8.84,13.23,82.4,9.17
Sakaiminato,75,JP,1581538197,93,35.55,133.23,51.8,2.24
Tabuk,4,PH,1581538198,92,17.42,121.44,64.24,3.8
Acarau,1,BR,1581538198,89,-2.89,-40.12,77.56,5.7
Sainte-Anne-des-Monts,0,CA,1581538198,82,49.12,-66.49,22.87,6.38
Qandala,24,SO,1581538198,72,11.47,49.87,73.74,5.57
Tahta,0,EG,1581538198,47,26.77,31.5,57.2,4.7
Raduzhny,100,RU,1581538269,95,62.1,77.47,7.12,7.61
Luwuk,100,ID,1581538269,75,-0.95,122.79,81.03,8.75
Vitim,83,RU,1581538269,99,59.45,112.56,-12.39,4.99
Carupano,4,VE,1581538269,78,10.67,-63.26,79.56,5.35
Pangody,100,RU,1581538270,94,65.85,74.49,15.49,13.6
Lima,41,PE,1581538253,65,-12.04,-77.03,78.8,10.29
Shache,100,CN,1581538270,38,38.42,77.24,36.73,3.6
Agua Dulce,5,MX,1581538270,49,18.13,-94.13,91.4,17.22
Talnakh,75,RU,1581538270,84,69.49,88.4,8.6,29.08
Grand Forks,75,US,1581538271,62,47.93,-97.03,-13.0,20.8
Sirte,59,LY,1581538271,73,31.21,16.59,57.51,5.1
Khandyga,100,RU,1581538271,98,62.67,135.6,-19.62,2.8
Diu,5,IN,1581538271,71,20.71,70.98,75.9,9.33
Faya,5,SA,1581538271,47,18.39,42.45,57.2,5.82
Touba,90,CI,1581538272,16,8.28,-7.68,79.03,3.29
Evensk,94,RU,1581538272,76,61.95,159.23,3.65,1.68
Samarinda,100,ID,1581538272,94,-0.5,117.15,73.24,1.63
Hailey,5,US,1581538272,73,43.52,-114.32,36.0,11.41
Kamenka,100,RU,1581538273,92,51.32,42.77,25.0,14.0
Woodward,90,US,1581538080,90,36.43,-99.39,42.8,11.41
Mahibadhoo,0,MV,1581538273,78,3.78,72.97,82.69,17.98
Kyra,100,RU,1581538273,85,49.58,111.98,-1.7,6.55
Winslow,1,US,1581538273,74,35.02,-110.7,39.99,5.82
Mahabalipuram,20,IN,1581538274,78,12.63,80.17,80.01,6.93
Cayenne,20,GF,1581538274,66,4.93,-52.33,84.2,12.75
Nalut,0,LY,1581538274,17,30.33,10.85,57.78,8.28
Russellville,90,US,1581538274,86,35.28,-93.13,42.01,3.36
Gotsucho,99,JP,1581538275,80,35.0,132.22,55.33,28.92
Rawson,35,AR,1581538275,62,-43.3,-65.1,64.6,7.2
Kitgum,7,UG,1581538275,27,3.28,32.89,78.19,4.94
Boden,90,SE,1581538275,100,65.83,21.69,26.6,3.36
Trebinje,25,BA,1581538276,93,42.71,18.34,48.2,2.24
Saint-Pierre,81,RE,1581538276,74,-21.34,55.48,80.6,4.7
Gazojak,0,TM,1581538276,69,41.19,61.4,29.71,5.48
Ola,100,RU,1581538276,58,59.58,151.28,-0.99,2.71
Aksu,43,CN,1581538277,53,41.12,80.26,31.51,1.88
Bay Roberts,90,CA,1581538277,92,47.6,-53.26,30.0,25.28
Solnechnyy,99,RU,1581538277,85,50.72,136.63,9.23,2.62
Iturama,100,BR,1581537983,89,-19.73,-50.2,78.15,3.71
Point Pleasant,1,US,1581538278,39,40.08,-74.07,46.99,13.27
Yar-Sale,98,RU,1581538278,93,66.83,70.83,16.61,12.91
Itaituba,40,BR,1581538278,83,-4.28,-55.98,80.6,8.05
Prince Rupert,90,CA,1581538278,75,54.32,-130.32,41.0,20.8
Ha Tinh,23,VN,1581538279,93,18.33,105.9,70.74,7.9
Umm Lajj,0,SA,1581538279,20,25.02,37.27,63.37,4.29
Burnie,100,AU,1581538279,92,-41.07,145.92,60.01,5.99
Barcelos,75,PT,1581538158,100,41.54,-8.62,55.4,5.82
Nurota,9,UZ,1581538279,80,40.56,65.69,33.8,6.93
Cantanhede,63,BR,1581538280,95,-3.63,-44.38,78.01,3.33
Kodinsk,9,RU,1581538280,98,58.69,99.18,-5.31,4.72
Ajdabiya,69,LY,1581538350,82,30.76,20.23,62.82,11.36
Vostok,100,RU,1581538350,97,46.49,135.88,26.38,1.97
Waingapu,86,ID,1581538351,74,-9.66,120.26,82.44,9.15
Rafaela,0,AR,1581538351,27,-31.25,-61.49,93.0,3.0
Erenhot,0,CN,1581538351,69,43.65,111.98,25.03,14.81
Austin,20,US,1581538155,76,30.27,-97.74,55.99,4.7
Raja,39,SS,1581538351,15,8.46,25.68,67.24,5.84
Chapais,90,CA,1581538352,85,49.78,-74.85,24.8,17.22
Yangi Marg`ilon,90,UZ,1581538352,81,40.43,71.72,42.8,6.93
Tripoli,95,LY,1581538352,74,32.88,13.19,61.7,3.71
Xining,57,CN,1581538352,25,36.62,101.77,26.73,4.83
Paraiso,20,CR,1581538352,60,9.84,-83.87,82.4,24.16
Salinas,1,US,1581538347,39,36.68,-121.66,70.0,4.7
Polunochnoye,19,RU,1581538353,89,60.87,60.42,13.14,2.91
Awjilah,11,LY,1581538354,47,29.11,21.29,61.72,7.27
Risor,5,NO,1581538354,62,58.72,9.23,37.0,4.0
Thio,75,NC,1581538355,88,-21.62,166.22,78.8,3.36
Yichun,100,CN,1581538355,98,47.7,128.9,13.15,4.88
Pacasmayo,32,PE,1581538356,67,-7.4,-79.57,77.43,14.85
Prieska,64,ZA,1581538357,46,-29.66,22.75,75.99,5.19
Turukhansk,100,RU,1581538357,94,65.82,87.98,5.83,11.63
Kabwe,100,ZM,1581538357,98,-14.45,28.45,65.82,3.27
Omboue,100,GA,1581538358,90,-1.57,9.26,76.78,2.37
Pozo Colorado,63,PY,1581538358,40,-23.49,-58.8,93.79,7.38
San Andres,20,CO,1581538358,62,12.58,-81.7,86.0,13.87
Totness,60,SR,1581538358,77,5.88,-56.32,79.18,14.83
Egvekinot,100,RU,1581538358,97,66.32,-179.17,-0.65,2.91
Puerto Madryn,21,AR,1581538270,24,-42.77,-65.04,76.23,10.0
Nachingwea,97,TZ,1581538359,98,-10.38,38.77,71.35,3.31
Gazli,0,UZ,1581538359,65,40.13,63.45,32.52,5.84
Kolondieba,66,ML,1581538359,14,11.09,-6.89,78.69,5.28
